city,latitude,longitude,date,temperature_max,temperature_min,precipitation_sum,precipitation_probability_max,wind_speed_max,wind_gusts_max,weather_code,categorie_temperature,categorie_precipitation,categorie_wind,temperature_score,precipitation_score,probability_score,wind_score,risk_score,risk_category
Casablanca,33.5992,-7.62,2026-09-26,27.8,19.5,0.0,0,10.2,30.2,45,normal,aucune,faible,0,0,0,0,0.0,Faible
Casablanca,33.5992,-7.62,2026-09-27,26.6,20.2,0.0,3,12.5,35.3,3,normal,aucune,faible,0,0,0,0,0.0,Faible
Casablanca,33.5992,-7.62,2026-09-28,24.7,21.2,2.3,23,8.0,25.9,80,normal,faible,faible,0,25,30,0,13.5,Faible
Casablanca,33.5992,-7.62,2026-09-29,27.7,17.8,0.0,0,11.4,31.7,3,normal,aucune,faible,0,0,0,0,0.0,Faible
Casablanca,33.5992,-7.62,2026-09-30,26.7,20.1,0.0,0,12.0,34.9,3,normal,aucune,faible,0,0,0,0,0.0,Faible
Casablanca,33.5992,-7.62,2026-10-01,26.4,21.6,0.0,0,15.0,37.8,3,normal,aucune,faible,0,0,0,0,0.0,Faible
Casablanca,33.5992,-7.62,2026-10-02,29.8,20.9,0.0,0,10.9,30.2,45,normal,aucune,faible,0,0,0,0,0.0,Faible
Tangier,35.7767,-5.8039000000000005,2026-09-26,29.4,20.2,0.0,0,23.4,53.3,3,normal,aucune,modere,0,0,0,30,9.0,Faible
Tangier,35.7767,-5.8039000000000005,2026-09-27,29.5,21.2,0.0,8,13.3,26.6,3,normal,aucune,faible,0,0,0,0,0.0,Faible
Tangier,35.7767,-5.8039000000000005,2026-09-28,23.6,19.6,1.1,25,11.2,24.8,61,normal,faible,faible,0,25,30,0,13.5,Faible
Tangier,35.7767,-5.8039000000000005,2026-09-29,26.8,18.2,0.0,0,12.0,27.7,3,normal,aucune,faible,0,0,0,0,0.0,Faible
Tangier,35.7767,-5.8039000000000005,2026-09-30,25.9,18.2,0.0,0,12.6,28.1,3,normal,aucune,faible,0,0,0,0,0.0,Faible
Tangier,35.7767,-5.8039000000000005,2026-10-01,26.3,19.1,0.0,3,17.4,31.3,3,normal,aucune,faible,0,0,0,0,0.0,Faible
Tangier,35.7767,-5.8039000000000005,2026-10-02,25.9,22.2,0.0,0,33.5,60.1,3,normal,aucune,modere,0,0,0,30,9.0,Faible
